Time (sec),Time (days),Injected oil volume (m3),Injected water volume (m3),Water PV injected,Produced oil volume (m3),Produced water volume (m3),WCT,OIP (m3),WIP (m3),Total fluid volume conservation error (m3),Total fluid volume conservation error (%%),Recovery factor
0.001,1.15741e-08,1.37111e-106,2.00182e-10,6.65156e-10,2.00182e-10,0,0,0.269836,0.0311187,3.59187e-18,1.19349e-15,7.41865e-10
0.00258333,2.98997e-08,3.54203e-106,5.17136e-10,1.71832e-09,5.17136e-10,0,0,0.269836,0.0311187,-5.19439e-17,-1.72597e-14,1.91649e-09
0.00522222,6.04424e-08,7.16023e-106,1.04539e-09,3.47359e-09,1.04539e-09,0,0,0.269836,0.0311187,-5.19478e-17,-1.7261e-14,3.87419e-09
0.00962037,1.11347e-07,1.31906e-105,1.92582e-09,6.39905e-09,1.92582e-09,0,0,0.269836,0.0311187,-5.19448e-17,-1.726e-14,7.13702e-09
0.0169506,1.96188e-07,2.32411e-105,3.39321e-09,1.12748e-08,3.39321e-09,0,0,0.269836,0.0311187,-5.19164e-17,-1.72506e-14,1.25751e-08
0.0291677,3.37589e-07,3.99921e-105,5.83884e-09,1.94011e-08,5.83884e-09,0,0,0.269836,0.0311187,-5.18042e-17,-1.72133e-14,2.16385e-08
0.0495295,5.73258e-07,6.79103e-105,9.9149e-09,3.29449e-08,9.9149e-09,0,0,0.269836,0.0311187,3.66311e-18,1.21716e-15,3.67442e-08
0.0834658,9.6604e-07,1.14441e-104,1.67083e-08,5.55178e-08,1.67083e-08,0,0,0.269836,0.0311187,5.91642e-17,1.96588e-14,6.19204e-08
0.140026,1.62068e-06,1.91991e-104,2.80307e-08,9.31394e-08,2.80307e-08,0,0,0.269836,0.0311187,5.91447e-17,1.96524e-14,1.03881e-07
0.234294,2.71174e-06,3.21242e-104,4.69014e-08,1.55842e-07,4.69014e-08,0,0,0.269836,0.0311187,3.63065e-18,1.20638e-15,1.73815e-07
0.391407,4.53017e-06,5.36661e-104,7.83525e-08,2.60347e-07,7.83525e-08,0,0,0.269836,0.0311188,3.60942e-18,1.19932e-15,2.90371e-07
0.653261,7.56089e-06,8.95692e-104,1.30771e-07,4.34521e-07,1.30771e-07,0,0,0.269836,0.0311188,-5.19139e-17,-1.72497e-14,4.84632e-07
1.08968,1.26121e-05,1.49408e-103,2.18135e-07,7.24811e-07,2.18135e-07,0,0,0.269836,0.0311189,3.58872e-18,1.19245e-15,8.08399e-07
1.78069,2.06098e-05,2.44152e-103,3.56462e-07,1.18444e-06,3.56462e-07,0,0,0.269835,0.0311191,5.9054e-17,1.96222e-14,1.32103e-06
2.87478,3.32729e-05,3.94164e-103,5.75479e-07,1.91218e-06,5.75479e-07,0,0,0.269835,0.0311193,3.52027e-18,1.1697e-15,2.1327e-06
4.60709,5.33228e-05,6.31682e-103,9.22256e-07,3.06444e-06,9.22256e-07,0,0,0.269835,0.0311196,1.14583e-16,3.80732e-14,3.41784e-06
7.34991,8.50685e-05,1.00775e-102,1.47132e-06,4.88884e-06,1.47132e-06,0,0,0.269834,0.0311202,5.91642e-17,1.96588e-14,5.45265e-06
11.6927,0.000135332,1.6032e-102,2.34067e-06,7.77749e-06,2.34067e-06,0,0,0.269834,0.031121,-5.17359e-17,-1.71906e-14,8.67442e-06
18.5688,0.000214917,2.54599e-102,3.71714e-06,1.23512e-05,3.71714e-06,0,0,0.269832,0.0311224,5.92686e-17,1.96935e-14,1.37756e-05
28.883,0.000334294,3.96017e-102,5.78185e-06,1.92117e-05,5.78185e-06,0,0,0.26983,0.0311245,5.93126e-17,1.97082e-14,2.14273e-05
44.3542,0.000513359,6.08145e-102,8.87891e-06,2.95025e-05,8.87891e-06,0,0,0.269827,0.0311276,3.80487e-18,1.26427e-15,3.29049e-05
67.5611,0.000781957,9.26336e-102,1.35245e-05,4.49387e-05,1.35245e-05,0,0,0.269822,0.0311322,-1.08059e-16,-3.59055e-14,5.01212e-05
102.371,0.00118485,1.40362e-101,2.04929e-05,6.8093e-05,2.04929e-05,0,0,0.269815,0.0311392,2.4564e-18,8.16202e-16,7.59458e-05
151.686,0.00175562,2.07978e-101,3.03648e-05,0.000100895,3.03648e-05,0,0,0.269805,0.0311491,5.8137e-17,1.93175e-14,0.000112531
217.439,0.00251665,2.98132e-101,4.35273e-05,0.000144631,4.35273e-05,0,0,0.269792,0.0311622,-1.65334e-16,-5.49366e-14,0.00016131
305.109,0.00353136,4.18338e-101,6.10773e-05,0.000202945,6.10773e-05,0,0,0.269775,0.0311798,-1.66181e-16,-5.5218e-14,0.00022635
422.003,0.00488429,5.78612e-101,8.44773e-05,0.000280698,8.44773e-05,0,0,0.269751,0.0312032,-1.12174e-16,-3.72728e-14,0.000313069
577.861,0.00668821,7.92311e-101,0.000115677,0.000384368,0.000115677,0,0,0.26972,0.0312344,-1.05113e-16,-3.49267e-14,0.000428695
785.673,0.00909343,1.07724e-100,0.000157277,0.000522595,0.000157277,0,0,0.269679,0.031276,-1.01508e-16,-3.37288e-14,0.000582863
1045.44,0.0121,1.43341e-100,0.000209277,0.000695379,0.000209277,0,0,0.269627,0.031328,-4.31594e-16,-1.43408e-13,0.000775573
1370.14,0.0158581,1.87861e-100,0.000274278,0.000911359,0.000274278,0,0,0.269562,0.031393,-3.84295e-16,-1.27692e-13,0.00101646
1776.02,0.0205558,2.43512e-100,0.000355528,0.00118133,0.000355528,0,0,0.26948,0.0314742,-2.04209e-16,-6.78539e-14,0.00131757
2317.2,0.0268194,3.17713e-100,0.000463861,0.0015413,0.000463861,0,0,0.269372,0.0315826,-3.73128e-16,-1.23982e-13,0.00171905
2993.67,0.0346489,4.10464e-100,0.000599278,0.00199126,0.000599278,0,0,0.269237,0.031718,-8.70614e-16,-2.89284e-13,0.0022209
3782.88,0.0437834,5.18674e-100,0.000757264,0.00251621,0.000757264,0,0,0.269079,0.031876,-3.22225e-16,-1.07068e-13,0.00280639
4703.63,0.0544402,6.44919e-100,0.000941581,0.00312865,0.000941581,0,0,0.268894,0.0320603,8.3592e-17,2.77756e-14,0.00348946
5777.84,0.0668731,7.92204e-100,0.00115662,0.00384317,0.00115662,0,0,0.268679,0.0322753,-4.00938e-16,-1.33222e-13,0.00428638
7031.08,0.0813783,9.64037e-100,0.00140749,0.00467677,0.00140749,0,0,0.268428,0.0325262,1.04083e-16,3.45844e-14,0.00521611
8493.2,0.0983009,1.16451e-99,0.00170018,0.0056493,0.00170018,0,0,0.268136,0.0328189,-3.29164e-16,-1.09373e-13,0.00630081
10077.2,0.116634,1.38169e-99,0.00201726,0.00670288,0.00201726,0,0,0.267819,0.033136,6.1149e-17,2.03184e-14,0.00747589
11793.1,0.136494,1.61696e-99,0.00236077,0.00784426,0.00236077,0,0,0.267475,0.0334795,-1.54477e-15,-5.13291e-13,0.0087489
13652.1,0.15801,1.87185e-99,0.0027329,0.00908076,0.0027329,0,0,0.267103,0.0338516,6.97359e-16,2.31716e-13,0.010128
15665.9,0.181319,2.14797e-99,0.00313603,0.0104203,0.00313603,0,0,0.2667,0.0342547,4.80952e-16,1.59809e-13,0.011622
17679.8,0.204627,2.42409e-99,0.00353917,0.0117598,0.00353917,0,0,0.266297,0.0346579,7.1991e-17,2.39209e-14,0.013116
19861.5,0.229878,2.72322e-99,0.00397591,0.013211,0.00397591,0,0,0.26586,0.0350946,-4.01588e-16,-1.33438e-13,0.0147345
22225,0.257233,3.04728e-99,0.00444904,0.0147831,0.00444904,0,0,0.265387,0.0355677,-1.64799e-16,-5.47587e-14,0.0164879
